FIPS,Rural-urban_Continuum Code_2013,Density per square mile of land area - Population,Total Hospitals (2019),deaths
48085,1.0,930.0,18.31559462,467
48091,1.0,193.9,2.7036268569999997,190
48099,2.0,71.7,1.3631382930000002,30
48113,1.0,2718.0,48.06502007,2347
48121,1.0,754.3,15.65371397,561
48135,3.0,152.8,2.954195175,97
48139,1.0,159.9,3.2696514110000003,138
48141,2.0,790.6,15.32014524,319
48157,1.0,679.5,14.35621069,602
48167,1.0,769.9,6.156972487000001,548
48181,3.0,129.6,2.441560569,0
48183,3.0,445.4,2.254167319,0
48187,1.0,184.9,2.98280344,0
48201,1.0,2402.4,85.61741369,2703
48203,4.0,72.9,1.215869502,122
48209,1.0,231.7,4.056743147,24
48213,4.0,89.9,1.499637985,0
48215,2.0,493.2,15.77898902,110
48231,1.0,102.5,1.758278571,57
48245,2.0,287.9,4.646583626,422
48251,1.0,208.3,3.122510173,70
48257,1.0,132.4,2.34372759,8
48291,1.0,65.3,1.572962609,4
48303,2.0,311.3,5.601607702000001,997
48309,2.0,226.5,4.639404226,110
48329,3.0,152.0,3.1446861339999996,139
48339,1.0,437.5,10.767732,292
48347,5.0,68.2,1.19737435,182
48355,2.0,405.8,6.6011294739999995,40
48361,2.0,245.3,1.522834368,12
48367,1.0,129.4,2.521372163,0
48375,2.0,133.3,2.180204931,154
48381,2.0,132.4,2.48310633,79
48397,1.0,616.7,1.83415425,23
48409,2.0,93.5,1.218912547,0
48423,3.0,227.6,4.195046799,92
48439,1.0,2094.7,37.99124805,1505
48441,3.0,143.6,2.508052009,91
48451,3.0,72.4,2.1536192880000002,29
48453,1.0,1034.4,22.75437656,950
48469,3.0,98.4,1.6770456740000002,60
48471,4.0,86.5,1.320717884,30
48479,2.0,74.5,5.027583767,392
48485,3.0,209.5,2.406447112,40
48491,1.0,378.0,10.32665451,199
48497,1.0,65.4,1.244641764,43
