FIPS,inter_movement,in_movement,out_movement
1081,307534.00582815084,92706.62048428754,98580.50876309827
1083,153750.77295107703,41931.75168771116,72226.7919194623
1085,12229.106133412595,8949.86211811807,11036.85996166653
1087,25367.078307538504,13137.156973096253,16907.379289549815
1089,746661.3771822106,162466.00031578407,100733.38497328376
1091,32877.462767924604,12804.449671060986,13293.792107022693
1093,52164.43989456533,18093.506644838944,22324.474969095223
1095,184671.8475120668,56477.14511234835,49903.544914042235
1097,899491.7560673167,119831.89944478766,106950.6916624475
1099,37403.518902731026,7853.658961706351,12999.040614804399
1101,469025.2943862421,142657.98847783293,72895.12792771772
1103,239619.47983997138,59074.95603398614,64756.438307820434
1105,11799.771138849557,4951.4117343540365,9437.967575009796
1107,30938.320084125713,6040.784665574068,18019.74469437502
1109,66734.00110412258,25597.43723585484,18002.789679419417
1111,37443.2751131778,9035.905233431919,18116.655635417806
1113,82029.61216082286,45523.32147359526,54367.30014603337
1115,144809.35212560842,51582.87764777745,79602.00778826534
1117,388280.76611947373,130378.25641282692,156725.03550199905
1119,18096.961958183372,8328.549516027482,10733.476326157908
1121,139984.90835549403,43545.172280835686,56443.65791817223
1123,69935.13874193122,20892.09077598652,30345.761715658864
1125,445058.405707423,100531.31033686562,64736.94860503909
1127,136421.86334313516,30837.90184001436,35002.21185829032
1129,21969.669022940823,6783.656912189486,17255.969245444732
1131,13895.876108413675,5423.0673663473235,7750.431489950022
